,NDBI1
0,-0.23456256091594696
1,-0.18424847722053528
2,-0.1780228465795517
3,-0.22654235363006592
4,-0.2413947433233261
5,-0.2505018711090088
6,-0.2700625956058502
7,-0.2955285608768463
8,-0.3011804521083832
9,-0.28352099657058716
10,-0.2879278063774109
11,-0.30330076813697815
12,-0.3143271803855896
13,-0.2908981144428253
14,-0.2776387631893158
15,-0.279622346162796
16,-0.2966306805610657
17,-0.29186320304870605
18,-0.2890685200691223
19,-0.28708598017692566
20,-0.2676739990711212
21,-0.22678017616271973
22,-0.23871324956417084
23,-0.2766647934913635
24,-0.3135896325111389
25,-0.3147065043449402
26,-0.3116426467895508
27,-0.3059377372264862
28,-0.30199265480041504
29,-0.2940233647823334
30,-0.3007466793060303
31,-0.29706600308418274
32,-0.29344382882118225
33,-0.3127773702144623
34,-0.3125348687171936
35,-0.31218549609184265
36,-0.3083343505859375
37,-0.31084102392196655
38,-0.298190712928772
39,-0.26719921827316284
40,-0.2607531249523163
41,-0.24998149275779724
42,-0.24093303084373474
43,-0.2526572048664093
44,-0.2830038070678711
45,-0.31118595600128174
46,-0.3144895136356354
47,-0.31290146708488464
48,-0.3183996081352234
49,-0.3221077620983124
50,-0.3206306993961334
51,-0.3119789659976959
52,-0.302023321390152
53,-0.27607202529907227
54,-0.2438366860151291
55,-0.23411476612091064
56,-0.2449934184551239
57,-0.28922465443611145
58,-0.3081345856189728
59,-0.3082123100757599
60,-0.23688286542892456
61,-0.22751754522323608
62,-0.23953112959861755
63,-0.24102024734020233
64,-0.2677905261516571
65,-0.28389838337898254
66,-0.2850551903247833
67,-0.2751561105251312
68,-0.25989580154418945
69,-0.24751994013786316
70,-0.269035667181015
71,-0.27476927638053894
72,-0.29215437173843384
73,-0.30970919132232666
74,-0.31304696202278137
75,-0.31377121806144714
76,-0.2968147099018097
77,-0.29067596793174744
78,-0.2894012928009033
79,-0.28345486521720886
80,-0.2675442397594452
81,-0.25308462977409363
82,-0.26141899824142456
83,-0.28679895401000977
84,-0.2977542281150818
85,-0.29888829588890076
86,-0.2828395366668701
87,-0.2779354751110077
88,-0.280097097158432
89,-0.27242758870124817
90,-0.26347455382347107
91,-0.2545848488807678
92,-0.2746889889240265
93,-0.2926202714443207
94,-0.30551132559776306
95,-0.31462904810905457
96,-0.3171963691711426
97,-0.30692312121391296
98,-0.3062813878059387
99,-0.29635995626449585
100,-0.285765677690506
101,-0.2704373896121979
102,-0.25122275948524475
103,-0.25819459557533264
104,-0.2700459361076355
105,-0.26532453298568726
106,-0.2602968215942383
107,-0.26128554344177246
108,-0.2667597532272339
109,-0.2905226945877075
110,-0.3041210472583771
111,-0.30102065205574036
112,-0.2861366868019104
113,-0.25842028856277466
114,-0.24090422689914703
115,-0.24577213823795319
116,-0.2554079592227936
117,-0.2796543538570404
118,-0.3012824058532715
119,-0.30256712436676025
120,-0.2797510027885437
121,-0.2866424322128296
122,-0.2633514404296875
123,-0.2604358196258545
124,-0.2592127025127411
125,-0.28338879346847534
126,-0.2899807095527649
127,-0.29615142941474915
128,-0.2800585925579071
129,-0.2631029188632965
130,-0.2545279562473297
131,-0.28810229897499084
132,-0.3072907030582428
133,-0.3088497221469879
134,-0.30357012152671814
135,-0.301760733127594
136,-0.28847992420196533
137,-0.2360803782939911
138,-0.23964785039424896
139,-0.25473520159721375
140,-0.2917284071445465
141,-0.292013555765152
142,-0.28953900933265686
143,-0.29733070731163025
144,-0.29783639311790466
145,-0.29640713334083557
146,-0.27990320324897766
147,-0.2699398696422577
148,-0.2609574496746063
149,-0.22628822922706604
150,-0.19732291996479034
151,-0.19057047367095947
152,-0.2225637435913086
153,-0.22263406217098236
154,-0.2460802048444748
155,-0.2994140088558197
156,-0.31284329295158386
157,-0.3085271716117859
158,-0.29476070404052734
159,-0.2741057574748993
160,-0.26027342677116394
161,-0.3059485852718353
162,-0.29850226640701294
163,-0.297123521566391
164,-0.23423093557357788
165,-0.20692478120326996
166,-0.19244533777236938
167,-0.20208148658275604
168,-0.21739089488983154
169,-0.24009867012500763
170,-0.3046380579471588
171,-0.30815738439559937
172,-0.3073135018348694
173,-0.30879417061805725
174,-0.30214953422546387
175,-0.2886804938316345
176,-0.251137912273407
177,-0.238575279712677
178,-0.23880672454833984
179,-0.28968173265457153
180,-0.2836377024650574
181,-0.299754798412323
182,-0.29050949215888977
183,-0.2824268937110901
184,-0.26881709694862366
185,-0.2640307545661926
186,-0.27125051617622375
187,-0.28596583008766174
188,-0.30368372797966003
189,-0.3060636818408966
190,-0.3019498288631439
191,-0.2876889705657959
192,-0.29476648569107056
193,-0.29136455059051514
194,-0.2891511619091034
195,-0.2958671450614929
196,-0.2959792912006378
197,-0.2819439470767975
198,-0.25303927063941956
199,-0.24987080693244934
200,-0.2616232931613922
201,-0.28079670667648315
202,-0.28905487060546875
203,-0.2892830967903137
204,-0.2941710352897644
205,-0.29502373933792114
206,-0.2953236401081085
207,-0.30228063464164734
208,-0.2766432762145996
209,-0.22515620291233063
210,-0.2013220191001892
211,-0.20508943498134613
212,-0.19928647577762604
213,-0.2036416083574295
214,-0.20166392624378204
215,-0.22370173037052155
216,-0.262912780046463
