,NDBI1
0,-0.1646759957075119
1,-0.14871127903461456
2,-0.15852445363998413
3,-0.1539868265390396
4,-0.14569596946239471
5,-0.16627348959445953
6,-0.2011505365371704
7,-0.20140419900417328
8,-0.19593942165374756
9,-0.191137433052063
10,-0.19102676212787628
11,-0.18915146589279175
12,-0.18944598734378815
13,-0.2119765281677246
14,-0.2118331789970398
15,-0.19807258248329163
16,-0.1961413025856018
17,-0.2304387241601944
18,-0.2347206324338913
19,-0.2286141812801361
20,-0.19404272735118866
21,-0.18235237896442413
22,-0.17793965339660645
23,-0.18859592080116272
24,-0.1871848702430725
25,-0.19163286685943604
26,-0.21354272961616516
27,-0.2177596241235733
28,-0.20659756660461426
29,-0.2201022505760193
30,-0.2297247350215912
31,-0.24504399299621582
32,-0.2399812638759613
33,-0.22577650845050812
34,-0.22140735387802124
35,-0.24659326672554016
36,-0.23993152379989624
37,-0.2549862861633301
38,-0.25542643666267395
39,-0.24113641679286957
40,-0.23399989306926727
41,-0.22748908400535583
42,-0.23578892648220062
43,-0.23963040113449097
44,-0.20914381742477417
45,-0.09425033628940582
46,-0.08531180024147034
47,-0.11558190733194351
48,-0.18498361110687256
49,-0.26206174492836
50,-0.24882516264915466
51,-0.23090869188308716
52,-0.18775838613510132
53,-0.16408538818359375
54,-0.17936483025550842
55,-0.12872453033924103
56,-0.1080629751086235
57,-0.12286593019962311
58,-0.17054185271263123
59,-0.21833202242851257
60,-0.3055950999259949
61,-0.3117646872997284
62,-0.3127380609512329
63,-0.309613436460495
64,-0.24323192238807678
65,-0.18030057847499847
66,-0.22512482106685638
67,-0.2086377888917923
68,-0.20121678709983826
69,-0.19976134598255157
70,-0.19645589590072632
71,-0.2280021458864212
72,-0.24648761749267578
73,-0.2461855560541153
74,-0.2505745589733124
75,-0.22993600368499756
76,-0.23563429713249207
77,-0.24157091975212097
78,-0.25642672181129456
79,-0.23339664936065674
80,-0.20729470252990723
81,-0.19552500545978546
82,-0.246010884642601
83,-0.2635551393032074
84,-0.2722139060497284
85,-0.2630932331085205
86,-0.22332514822483063
87,-0.1837492734193802
88,-0.1850510537624359
89,-0.24017390608787537
90,-0.2533450424671173
91,-0.25336286425590515
92,-0.22302912175655365
93,-0.2329380363225937
94,-0.2406408041715622
95,-0.23083046078681946
96,-0.25850510597229004
97,-0.2620428800582886
98,-0.26046615839004517
99,-0.25119251012802124
100,-0.21198461949825287
101,-0.25568947196006775
102,-0.2749238610267639
103,-0.2720737159252167
104,-0.27286699414253235
105,-0.25966060161590576
106,-0.2533818185329437
107,-0.23954811692237854
108,-0.2354700118303299
109,-0.23466430604457855
110,-0.22531872987747192
111,-0.13386431336402893
112,-0.1099071353673935
113,-0.12772932648658752
114,-0.20174206793308258
115,-0.1653580367565155
