,NDBI1
0,-0.18432554602622986
1,-0.20147405564785004
2,-0.23413310945034027
3,-0.2346244752407074
4,-0.23481085896492004
5,-0.24139365553855896
6,-0.24658314883708954
7,-0.23620103299617767
8,-0.2343136966228485
9,-0.2234833687543869
10,-0.21737675368785858
11,-0.20829176902770996
12,-0.20833097398281097
13,-0.2136576622724533
14,-0.22315345704555511
15,-0.21496690809726715
16,-0.21297913789749146
17,-0.21352475881576538
18,-0.2144227921962738
19,-0.22173982858657837
20,-0.2299332320690155
21,-0.22364482283592224
22,-0.21169957518577576
23,-0.2204369306564331
24,-0.22241292893886566
25,-0.22363005578517914
26,-0.21212808787822723
27,-0.21416063606739044
28,-0.23034726083278656
29,-0.23969857394695282
30,-0.22469396889209747
31,-0.20765528082847595
32,-0.19660678505897522
33,-0.18760062754154205
34,-0.18179164826869965
35,-0.1805972456932068
36,-0.18184420466423035
37,-0.18607226014137268
38,-0.21188995242118835
39,-0.21824181079864502
40,-0.21195776760578156
41,-0.19271187484264374
42,-0.164189413189888
43,-0.1609107255935669
44,-0.1516077220439911
45,-0.1459958851337433
46,-0.1695384383201599
47,-0.18391625583171844
48,-0.18357287347316742
49,-0.18745076656341553
50,-0.25190040469169617
51,-0.25219473242759705
52,-0.24031196534633636
53,-0.23011289536952972
54,-0.24659152328968048
55,-0.24320130050182343
56,-0.23709172010421753
57,-0.23945052921772003
58,-0.23745453357696533
59,-0.23219257593154907
60,-0.23500242829322815
61,-0.23653821647167206
62,-0.23244228959083557
63,-0.2367081195116043
64,-0.23326314985752106
65,-0.22237378358840942
66,-0.2027338296175003
67,-0.199478417634964
68,-0.1964036077260971
69,-0.19206207990646362
70,-0.21344934403896332
71,-0.20847350358963013
72,-0.20579800009727478
73,-0.2114352434873581
74,-0.2166510820388794
75,-0.21843403577804565
76,-0.2118961066007614
77,-0.18986286222934723
78,-0.21958959102630615
79,-0.2313160002231598
80,-0.23254238069057465
81,-0.21990877389907837
82,-0.19582009315490723
83,-0.19692321121692657
84,-0.20188531279563904
85,-0.21010422706604004
86,-0.17518742382526398
87,-0.17270271480083466
88,-0.18730290234088898
89,-0.20709285140037537
90,-0.25559693574905396
91,-0.26129165291786194
92,-0.2510077953338623
93,-0.2250397801399231
94,-0.23335662484169006
95,-0.23342745006084442
96,-0.23582518100738525
97,-0.24854378402233124
98,-0.25963929295539856
99,-0.2655509114265442
100,-0.2710685729980469
101,-0.26820138096809387
102,-0.26772385835647583
103,-0.26419690251350403
104,-0.25775399804115295
105,-0.2510600686073303
106,-0.24387428164482117
107,-0.25318071246147156
108,-0.2537561058998108
109,-0.24867253005504608
110,-0.25689753890037537
111,-0.2627197206020355
112,-0.26255080103874207
113,-0.2552863359451294
114,-0.24560382962226868
115,-0.2510891258716583
116,-0.2514019012451172
117,-0.25078532099723816
118,-0.2680392265319824
119,-0.26106905937194824
120,-0.2541212737560272
121,-0.248940110206604
122,-0.2589094638824463
123,-0.2569272220134735
124,-0.2502847909927368
125,-0.24951006472110748
126,-0.2409140020608902
127,-0.24124859273433685
128,-0.24560117721557617
129,-0.2534775137901306
130,-0.258317768573761
131,-0.2518217861652374
132,-0.2490198314189911
133,-0.24934853613376617
134,-0.24262143671512604
135,-0.24196739494800568
136,-0.2491026073694229
137,-0.25488826632499695
138,-0.2462383657693863
139,-0.2473282814025879
140,-0.2474025934934616
141,-0.23828166723251343
142,-0.20980533957481384
143,-0.21526481211185455
144,-0.23084495961666107
145,-0.24207942187786102
146,-0.24552451074123383
147,-0.2332303375005722
148,-0.2278657853603363
149,-0.23742996156215668
150,-0.2422599494457245
151,-0.2321457713842392
152,-0.21893802285194397
153,-0.21209807693958282
154,-0.24040165543556213
155,-0.24102072417736053
156,-0.23955470323562622
157,-0.24395011365413666
158,-0.2361968457698822
159,-0.24995698034763336
160,-0.2546924352645874
161,-0.24764637649059296
162,-0.23720131814479828
163,-0.23916976153850555
164,-0.2424643188714981
165,-0.24240083992481232
166,-0.20622201263904572
167,-0.2484797090291977
168,-0.2575182318687439
169,-0.24571049213409424
170,-0.23457081615924835
171,-0.22029109299182892
172,-0.20567764341831207
173,-0.19810234010219574
174,-0.19996650516986847
175,-0.21248076856136322
176,-0.22941631078720093
177,-0.23347365856170654
178,-0.2219354510307312
179,-0.21294334530830383
180,-0.20783063769340515
181,-0.20521077513694763
182,-0.21123731136322021
183,-0.21972724795341492
184,-0.22093166410923004
185,-0.22421948611736298
186,-0.22501328587532043
187,-0.22797632217407227
188,-0.231637105345726
189,-0.2333364635705948
190,-0.22885264456272125
191,-0.22228999435901642
192,-0.2227771133184433
193,-0.23505161702632904
194,-0.25668689608573914
195,-0.2721012234687805
196,-0.26423031091690063
197,-0.21471241116523743
198,-0.20149509608745575
199,-0.20155973732471466
200,-0.2069433033466339
201,-0.21031643450260162
202,-0.21096166968345642
203,-0.207479789853096
204,-0.1951318234205246
205,-0.16417424380779266
206,-0.1802438348531723
207,-0.18947824835777283
208,-0.18990632891654968
209,-0.1971050202846527
210,-0.16922593116760254
211,-0.14524677395820618
212,-0.16614438593387604
213,-0.1823582500219345
214,-0.18722638487815857
215,-0.21135316789150238
216,-0.25259724259376526
217,-0.2463488131761551
218,-0.23486408591270447
219,-0.23508518934249878
220,-0.23588228225708008
221,-0.22743889689445496
222,-0.22576144337654114
223,-0.2283162772655487
224,-0.23291511833667755
225,-0.2245056927204132
226,-0.2302723526954651
227,-0.24003949761390686
228,-0.24280035495758057
229,-0.23287926614284515
230,-0.22031545639038086
231,-0.20600394904613495
232,-0.20317813754081726
233,-0.20399883389472961
234,-0.19666290283203125
235,-0.19484511017799377
236,-0.2028563767671585
237,-0.20259657502174377
238,-0.20481792092323303
239,-0.21157750487327576
240,-0.2100982367992401
241,-0.2203833907842636
242,-0.23454152047634125
243,-0.2363157868385315
244,-0.24037088453769684
245,-0.24139627814292908
246,-0.2425757646560669
247,-0.2276606410741806
248,-0.21280494332313538
249,-0.22133657336235046
250,-0.23346151411533356
251,-0.23408541083335876
252,-0.2129458785057068
253,-0.15685172379016876
254,-0.14281345903873444
255,-0.15612611174583435
256,-0.17832516133785248
257,-0.2087833732366562
258,-0.23382043838500977
259,-0.24809958040714264
260,-0.2507842779159546
261,-0.25952857732772827
262,-0.26035404205322266
263,-0.24733395874500275
264,-0.23889809846878052
265,-0.2535403370857239
266,-0.2685239315032959
267,-0.2658688426017761
268,-0.2620472013950348
269,-0.2509167194366455
270,-0.25110816955566406
271,-0.25431597232818604
272,-0.25686582922935486
273,-0.2707502543926239
274,-0.2683930993080139
275,-0.2646035850048065
276,-0.25099432468414307
277,-0.23387457430362701
278,-0.23860816657543182
279,-0.24150890111923218
280,-0.24676120281219482
281,-0.2547713816165924
282,-0.24784690141677856
283,-0.24887321889400482
284,-0.2520415782928467
285,-0.24391555786132812
286,-0.2477179765701294
287,-0.24957740306854248
288,-0.253446102142334
289,-0.26269009709358215
290,-0.2562106251716614
291,-0.24717195332050323
292,-0.23841071128845215
293,-0.2285654991865158
294,-0.25179389119148254
295,-0.25957193970680237
296,-0.2593974173069
297,-0.24613110721111298
298,-0.24297630786895752
299,-0.24682557582855225
300,-0.25189101696014404
301,-0.2438610941171646
302,-0.23806467652320862
303,-0.23218859732151031
304,-0.23432905972003937
305,-0.2357582300901413
306,-0.2309032827615738
307,-0.2225688397884369
308,-0.22403833270072937
309,-0.23676609992980957
310,-0.23590779304504395
311,-0.23737935721874237
312,-0.235367089509964
313,-0.22890160977840424
314,-0.23433654010295868
315,-0.23738005757331848
316,-0.23270626366138458
317,-0.24727632105350494
318,-0.2479616105556488
319,-0.24981099367141724
320,-0.255484938621521
321,-0.24529500305652618
322,-0.24087220430374146
323,-0.24684469401836395
324,-0.24818506836891174
325,-0.24241000413894653
326,-0.22498781979084015
327,-0.21075311303138733
328,-0.19468912482261658
329,-0.19822607934474945
330,-0.21775716543197632
331,-0.23446379601955414
332,-0.23647794127464294
333,-0.24090412259101868
334,-0.2347652167081833
335,-0.2333807796239853
336,-0.23418480157852173
337,-0.22821755707263947
338,-0.2272724062204361
339,-0.2254166156053543
340,-0.2478095442056656
341,-0.2551402151584625
342,-0.23402582108974457
343,-0.22624756395816803
344,-0.2043871432542801
345,-0.19634708762168884
346,-0.17764028906822205
347,-0.17684653401374817
348,-0.19005392491817474
349,-0.19689200818538666
350,-0.20995739102363586
351,-0.21850992739200592
352,-0.23344291746616364
353,-0.23630249500274658
354,-0.2327570915222168
355,-0.2271708846092224
356,-0.2108827531337738
357,-0.1977153867483139
358,-0.20040901005268097
359,-0.2046060860157013
360,-0.21844978630542755
