,NDBI1
0,-0.17964693903923035
1,-0.20027679204940796
2,-0.21686284244060516
3,-0.21686284244060516
4,-0.21574117243289948
5,-0.19995851814746857
6,-0.1640738844871521
7,-0.1640738844871521
8,-0.15767362713813782
9,-0.17482542991638184
10,-0.1732545644044876
11,-0.2016519457101822
12,-0.2016519457101822
13,-0.21662357449531555
14,-0.2117207646369934
15,-0.22372998297214508
16,-0.22372998297214508
17,-0.2282964140176773
18,-0.23431526124477386
19,-0.22856087982654572
20,-0.23419775068759918
21,-0.23419775068759918
22,-0.24000972509384155
23,-0.21602219343185425
24,-0.1921919286251068
25,-0.1921919286251068
26,-0.17311982810497284
27,-0.15686975419521332
28,-0.15994620323181152
29,-0.19110223650932312
30,-0.19110223650932312
31,-0.21753892302513123
32,-0.2221321016550064
33,-0.20016203820705414
34,-0.20016203820705414
35,-0.1843469738960266
36,-0.20881815254688263
37,-0.2125726342201233
38,-0.21594588458538055
39,-0.21594588458538055
40,-0.20863483846187592
41,-0.16371387243270874
42,-0.14935681223869324
43,-0.14935681223869324
44,-0.1859894096851349
45,-0.199474036693573
46,-0.20510466396808624
47,-0.22568975389003754
48,-0.22568975389003754
49,-0.20946156978607178
50,-0.19328437745571136
51,-0.19012831151485443
52,-0.19012831151485443
53,-0.2013731151819229
54,-0.21606014668941498
55,-0.2243066430091858
56,-0.21674712002277374
57,-0.21674712002277374
58,-0.20728670060634613
59,-0.19437989592552185
60,-0.1882125437259674
61,-0.1882125437259674
62,-0.16705411672592163
63,-0.1561921089887619
64,-0.17616192996501923
65,-0.1848180741071701
66,-0.1848180741071701
67,-0.17308539152145386
68,-0.16739049553871155
69,-0.18811491131782532
70,-0.18811491131782532
71,-0.2186356633901596
72,-0.22070744633674622
73,-0.20555739104747772
74,-0.20555739104747772
75,-0.17600828409194946
76,-0.1730535924434662
77,-0.1964864581823349
78,-0.20819899439811707
79,-0.20819899439811707
80,-0.19645661115646362
81,-0.1840747892856598
82,-0.19282527267932892
83,-0.19282527267932892
84,-0.1958010047674179
85,-0.20103082060813904
86,-0.20758360624313354
87,-0.19728270173072815
88,-0.19728270173072815
89,-0.19776104390621185
90,-0.2324240505695343
91,-0.21313044428825378
92,-0.21313044428825378
93,-0.18546706438064575
94,-0.1705228090286255
95,-0.16452617943286896
96,-0.17558953166007996
97,-0.17558953166007996
98,-0.21141260862350464
99,-0.2363656461238861
100,-0.23240289092063904
101,-0.23240289092063904
102,-0.21056929230690002
103,-0.21100619435310364
104,-0.21895718574523926
105,-0.19975483417510986
106,-0.19975483417510986
107,-0.18458805978298187
108,-0.18801631033420563
109,-0.17200204730033875
110,-0.17200204730033875
111,-0.16584478318691254
112,-0.1884528398513794
113,-0.19108588993549347
114,-0.19108588993549347
115,-0.20646600425243378
116,-0.22270084917545319
117,-0.20072826743125916
118,-0.17865824699401855
119,-0.17865824699401855
120,-0.1788044571876526
121,-0.19557681679725647
122,-0.21060329675674438
123,-0.21060329675674438
124,-0.21434906125068665
125,-0.20816092193126678
126,-0.18853065371513367
127,-0.16119089722633362
128,-0.16119089722633362
129,-0.1534816175699234
130,-0.16115938127040863
131,-0.19212333858013153
132,-0.19212333858013153
133,-0.19583825767040253
134,-0.19804105162620544
135,-0.18715563416481018
136,-0.16437838971614838
137,-0.17652200162410736
138,-0.21789397299289703
139,-0.2240106463432312
140,-0.22230026125907898
141,-0.22230026125907898
142,-0.19228029251098633
143,-0.1798393279314041
144,-0.18355825543403625
145,-0.18355825543403625
146,-0.18936316668987274
147,-0.20526818931102753
148,-0.20441606640815735
149,-0.20139823853969574
150,-0.20139823853969574
151,-0.20581041276454926
152,-0.19013579189777374
153,-0.1867673099040985
154,-0.1867673099040985
155,-0.20839115977287292
156,-0.19713640213012695
157,-0.1842784583568573
158,-0.22219222784042358
159,-0.22219222784042358
160,-0.20993591845035553
161,-0.18007981777191162
162,-0.1891796886920929
163,-0.1891796886920929
164,-0.20213714241981506
165,-0.22459402680397034
166,-0.23118028044700623
167,-0.22622177004814148
168,-0.22622177004814148
169,-0.2267242819070816
170,-0.23331891000270844
171,-0.22913727164268494
172,-0.22913727164268494
173,-0.20172904431819916
174,-0.17741914093494415
175,-0.16690273582935333
176,-0.18386131525039673
177,-0.18386131525039673
178,-0.1896694004535675
179,-0.19146311283111572
180,-0.20556040108203888
181,-0.20556040108203888
182,-0.19393697381019592
183,-0.21654187142848969
184,-0.22502923011779785
185,-0.21057219803333282
186,-0.21057219803333282
187,-0.19137805700302124
188,-0.18155671656131744
189,-0.1976427584886551
190,-0.1976427584886551
191,-0.18546470999717712
192,-0.20179711282253265
193,-0.19809973239898682
194,-0.15433159470558167
195,-0.15433159470558167
196,-0.1383408010005951
197,-0.14940091967582703
198,-0.17561988532543182
199,-0.17561988532543182
200,-0.20909377932548523
201,-0.21148467063903809
202,-0.20158547163009644
203,-0.1953490823507309
204,-0.13495993614196777
205,-0.14892427623271942
206,-0.1691717654466629
207,-0.17608000338077545
208,-0.17608000338077545
209,-0.19539178907871246
210,-0.19100400805473328
211,-0.17148514091968536
212,-0.17148514091968536
213,-0.16704660654067993
214,-0.1874229907989502
215,-0.2008737325668335
216,-0.20083236694335938
217,-0.20083236694335938
218,-0.19322706758975983
219,-0.19137580692768097
220,-0.19098657369613647
221,-0.19098657369613647
222,-0.18499353528022766
223,-0.21085304021835327
224,-0.22682853043079376
225,-0.23882253468036652
226,-0.23882253468036652
227,-0.24993102252483368
228,-0.22134502232074738
229,-0.18023546040058136
230,-0.18023546040058136
231,-0.1912268102169037
232,-0.22795459628105164
233,-0.23506608605384827
234,-0.23506608605384827
235,-0.23713931441307068
236,-0.21874116361141205
237,-0.21574395895004272
238,-0.22953718900680542
239,-0.22953718900680542
240,-0.21991081535816193
241,-0.21906280517578125
242,-0.21722427010536194
243,-0.21722427010536194
244,-0.2053101509809494
245,-0.20433931052684784
246,-0.20769421756267548
247,-0.2223416566848755
248,-0.2223416566848755
249,-0.2247627228498459
250,-0.20619916915893555
251,-0.22965148091316223
252,-0.22965148091316223
253,-0.24527254700660706
254,-0.2373882681131363
255,-0.22061635553836823
256,-0.20374982059001923
257,-0.20374982059001923
258,-0.19910849630832672
259,-0.2056870013475418
260,-0.2056305706501007
261,-0.2056305706501007
262,-0.2039959877729416
263,-0.1777036041021347
264,-0.16337253153324127
265,-0.16186527907848358
266,-0.16186527907848358
267,-0.1711052507162094
268,-0.20156733691692352
269,-0.20942816138267517
270,-0.20942816138267517
271,-0.1961592137813568
272,-0.11832471936941147
273,-0.12119486927986145
274,-0.12119486927986145
275,-0.1151609718799591
276,-0.13785092532634735
277,-0.17190362513065338
278,-0.17907506227493286
279,-0.17907506227493286
280,-0.14673498272895813
281,-0.1437438428401947
282,-0.1614682376384735
283,-0.1614682376384735
284,-0.18593236804008484
285,-0.2025562971830368
286,-0.2107485681772232
287,-0.21420368552207947
288,-0.21420368552207947
289,-0.21125556528568268
290,-0.20208151638507843
291,-0.2195579558610916
292,-0.2195579558610916
293,-0.2435164898633957
294,-0.25669577717781067
295,-0.25776442885398865
296,-0.23054790496826172
297,-0.23054790496826172
298,-0.19230565428733826
299,-0.20007377862930298
300,-0.2335757613182068
301,-0.2335757613182068
302,-0.2537963390350342
303,-0.2565120458602905
304,-0.24183431267738342
305,-0.23160699009895325
306,-0.23160699009895325
307,-0.21682246029376984
308,-0.2329414039850235
309,-0.2507222592830658
310,-0.2507222592830658
311,-0.24518074095249176
312,-0.20413321256637573
313,-0.19811904430389404
314,-0.20865102112293243
