,NDBI1
0,0.15868064761161804
1,0.16761767864227295
2,0.15057428181171417
3,0.13224755227565765
4,0.13569825887680054
5,0.1400076448917389
6,0.14461131393909454
7,0.15767008066177368
8,0.14755138754844666
9,0.15089385211467743
10,0.14171895384788513
11,0.15735234320163727
12,0.1405283361673355
13,0.15928305685520172
14,0.15255942940711975
15,0.1389504224061966
16,0.1466883271932602
17,0.16136899590492249
18,0.15009061992168427
19,0.1561892032623291
20,0.15596646070480347
21,0.1750996857881546
22,0.1750996857881546
23,0.15609247982501984
24,0.16741369664669037
25,0.16494064033031464
26,0.16993987560272217
27,0.16786371171474457
28,0.17805778980255127
29,0.1676749736070633
30,0.14254099130630493
31,0.169096440076828
32,0.1557275801897049
33,0.14705611765384674
34,0.13369299471378326
35,0.13035747408866882
36,0.10903248190879822
37,0.09737198799848557
38,0.07400452345609665
39,0.03165002167224884
40,0.06717384606599808
41,0.0487607903778553
42,0.008564475923776627
43,0.011131725274026394
44,0.024082036688923836
45,0.024926718324422836
46,0.020517058670520782
47,0.02280966006219387
48,0.007128947880119085
49,-0.00038038796628825366
50,0.021323682740330696
51,0.04397541284561157
52,0.05107943341135979
53,0.05695078894495964
54,0.0622766837477684
55,0.07278980314731598
56,0.08240211009979248
57,0.07690728455781937
58,0.07915206998586655
59,0.08875787258148193
60,0.09029131382703781
61,0.09123659133911133
62,0.09086458384990692
63,0.0781325027346611
64,0.13980643451213837
65,0.16211473941802979
66,0.1495247334241867
67,0.15627072751522064
68,0.14870990812778473
69,0.14035283029079437
70,0.14147306978702545
71,0.1523354947566986
72,0.1536346971988678
73,0.1548887938261032
74,0.1548887938261032
75,0.16428086161613464
76,0.16186006367206573
77,0.13379092514514923
78,0.1497589349746704
79,0.15557144582271576
80,0.15733441710472107
81,0.160067617893219
82,0.15406040847301483
83,0.15873096883296967
84,0.1656942069530487
85,0.17238850891590118
86,0.17632408440113068
87,0.1595839411020279
88,0.16230638325214386
89,0.17588794231414795
90,0.17184574902057648
91,0.1681610494852066
92,0.1734141856431961
93,0.16357749700546265
94,0.13327154517173767
95,0.1366349309682846
96,0.12871764600276947
97,0.13096225261688232
98,0.13100528717041016
99,0.11568054556846619
100,0.09349795430898666
101,0.06725583970546722
102,0.07918837666511536
103,0.04053009673953056
104,0.012279233895242214
105,-0.010084396228194237
106,-0.01989719085395336
107,0.00707863038405776
108,0.013294382020831108
109,0.02259868197143078
110,0.01986800879240036
111,0.017517397180199623
112,0.00615775678306818
113,0.017021924257278442
114,0.04278162866830826
115,0.07207036018371582
116,0.07207036018371582
117,0.0829785168170929
118,0.08025462925434113
119,0.07261666655540466
120,0.05832628160715103
121,0.05443856492638588
122,0.06632421165704727
123,0.08021651953458786
124,0.0767979770898819
125,0.07519827038049698
126,0.0823938325047493
127,0.083224356174469
128,0.1565103530883789
129,0.15575732290744781
130,0.1505538523197174
131,0.1512252390384674
132,0.1391678750514984
133,0.16076253354549408
134,0.15886645019054413
135,0.16190634667873383
136,0.1628047525882721
137,0.13844096660614014
138,0.1498926430940628
139,0.164229154586792
140,0.15613412857055664
141,0.14409394562244415
142,0.15618222951889038
143,0.16824421286582947
144,0.15820498764514923
145,0.15460269153118134
146,0.1448470801115036
147,0.1466839462518692
148,0.14901664853096008
149,0.17690834403038025
150,0.16160626709461212
151,0.14055190980434418
152,0.17223875224590302
153,0.1669260561466217
154,0.16367235779762268
155,0.16491758823394775
156,0.163237065076828
157,0.1567254364490509
158,0.14713798463344574
159,0.14566974341869354
160,0.14822781085968018
161,0.14495894312858582
162,0.1154274195432663
163,0.09113568067550659
164,0.0433645024895668
165,0.01351531594991684
166,-0.02018037997186184
167,-0.03296605125069618
168,-0.03296605125069618
169,-0.03083488903939724
170,-0.020437203347682953
171,-0.026181945577263832
172,-0.012060577049851418
173,-0.0014689353993162513
174,0.018852289766073227
175,0.024828292429447174
176,0.02246773988008499
177,0.027017878368496895
178,0.049289606511592865
179,0.06994252651929855
180,0.08415403217077255
181,0.09065382927656174
182,0.09060938656330109
183,0.0784352719783783
184,0.060309555381536484
185,0.07136283814907074
186,0.09320040792226791
187,0.09997357428073883
188,0.08023957163095474
189,0.06011433154344559
190,0.06250596791505814
191,0.07207581400871277
192,0.15022988617420197
193,0.14928194880485535
194,0.14759638905525208
195,0.140892893075943
196,0.14081192016601562
197,0.13444609940052032
198,0.15405279397964478
199,0.14980734884738922
200,0.15478596091270447
201,0.1547941416501999
202,0.15677699446678162
203,0.1708461493253708
204,0.14336775243282318
205,0.1587192267179489
206,0.17296189069747925
207,0.15824490785598755
208,0.15906505286693573
209,0.13515877723693848
210,0.1441030502319336
211,0.15810778737068176
212,0.1560339480638504
213,0.15081468224525452
214,0.1485014408826828
215,0.15232796967029572
216,0.17259661853313446
217,0.17876172065734863
218,0.16723787784576416
219,0.1674933135509491
220,0.1674933135509491
221,0.16895660758018494
222,0.16129910945892334
223,0.14241695404052734
224,0.1600518822669983
225,0.14208926260471344
226,0.1020738035440445
227,0.0829605683684349
228,0.04330722242593765
229,-0.01646709069609642
230,-0.04487784951925278
231,-0.05549568682909012
232,-0.05278464034199715
233,-0.04274611547589302
234,-0.014073053374886513
235,-0.01625792868435383
236,0.007935216650366783
237,0.014571031555533409
238,0.0077291387133300304
239,0.018662400543689728
240,0.028025465086102486
241,0.04398512467741966
242,0.056587181985378265
243,0.07080388069152832
244,0.0792979747056961
245,0.0872178003191948
246,0.08658529818058014
247,0.08354996889829636
248,0.088287852704525
249,0.08705047518014908
250,0.0942760556936264
251,0.10131102055311203
252,0.08457738906145096
253,0.07284031063318253
254,0.060733161866664886
255,0.056308500468730927
256,0.13419680297374725
257,0.13612912595272064
258,0.1465759128332138
259,0.1553550511598587
260,0.1618230640888214
261,0.1579582691192627
262,0.1489442139863968
263,0.15307407081127167
264,0.16116365790367126
265,0.14233693480491638
266,0.15171949565410614
267,0.16713137924671173
268,0.16277919709682465
269,0.17018891870975494
270,0.16788707673549652
271,0.15857793390750885
