,NDBI1
0,-0.012760222889482975
1,-0.032076213508844376
2,-0.05421249940991402
3,-0.06463409215211868
4,-0.08486578613519669
5,-0.15089532732963562
6,-0.19992658495903015
7,-0.19992658495903015
8,-0.16243936121463776
9,-0.13833940029144287
10,-0.13165710866451263
11,-0.130375936627388
12,-0.13939091563224792
13,-0.15783998370170593
14,-0.18006210029125214
15,-0.1708213984966278
16,-0.1752159744501114
17,-0.09849262982606888
18,-0.04695380479097366
19,-0.06094533950090408
20,-0.08623039722442627
21,-0.12487346678972244
22,-0.16506364941596985
23,-0.17610259354114532
24,-0.17610259354114532
25,-0.17061184346675873
26,-0.1459202915430069
27,-0.1312398761510849
28,-0.08079654723405838
29,-0.02956174686551094
30,-0.027004120871424675
31,-0.06387235224246979
32,-0.013830939307808876
33,-0.0010882655624300241
34,-0.03978228196501732
35,-0.04013751447200775
36,-0.03379147872328758
37,-0.033369794487953186
38,-0.022284531965851784
39,-0.028870513662695885
40,-0.018793080002069473
41,-0.050763532519340515
42,-0.050763532519340515
43,-0.08137371391057968
44,-0.12694121897220612
45,-0.16660648584365845
46,-0.17840634286403656
47,-0.16420209407806396
48,-0.13414882123470306
49,-0.12104416638612747
50,-0.12918947637081146
51,-0.1519090235233307
52,-0.1554531455039978
53,-0.17877428233623505
54,-0.12998072803020477
55,-0.04761729761958122
56,-0.032680388540029526
57,-0.020149648189544678
58,-0.031051261350512505
59,-0.04450118541717529
60,-0.04450118541717529
61,-0.05188891664147377
62,-0.04434923827648163
63,-0.037326451390981674
64,-0.043987177312374115
65,-0.039674077183008194
66,-0.04140472784638405
67,-0.04123487323522568
68,-0.029875533655285835
69,-0.021799782291054726
70,-0.02852276712656021
71,-0.0331207737326622
72,-0.03981739282608032
73,-0.046083174645900726
74,-0.049159757792949677
75,-0.05656799301505089
76,-0.06390531361103058
77,-0.06521325558423996
78,-0.06521325558423996
79,-0.061415400356054306
80,-0.04380647838115692
81,-0.040403708815574646
82,-0.03797031566500664
83,-0.044151876121759415
84,-0.05127051845192909
85,-0.07899752259254456
86,-0.1707613468170166
87,-0.18881314992904663
88,-0.1455753892660141
89,-0.11493424326181412
90,-0.10050912946462631
91,-0.11419176310300827
92,-0.12938407063484192
93,-0.1545366644859314
94,-0.17185813188552856
95,-0.15694186091423035
96,-0.07806713879108429
97,-0.07806713879108429
98,-0.045605286955833435
99,-0.05591091886162758
100,-0.1105625182390213
101,-0.15554091334342957
102,-0.18328377604484558
103,-0.19832557439804077
104,-0.19448041915893555
105,-0.1870221048593521
106,-0.1725979447364807
107,-0.14101850986480713
108,-0.07826703041791916
109,-0.028969457373023033
110,-0.015153457410633564
111,-0.007554770912975073
112,0.0070892213843762875
113,-0.010978758335113525
114,-0.010978758335113525
115,-0.01863580197095871
116,-0.028324848040938377
117,-0.07332120835781097
118,-0.0798826515674591
119,-0.04867323487997055
120,-0.044832743704319
121,-0.07354632019996643
122,-0.10383811593055725
123,-0.11317893862724304
124,-0.11866176873445511
125,-0.15269163250923157
126,-0.1780240833759308
127,-0.1762533038854599
128,-0.1673901081085205
129,-0.16224390268325806
130,-0.17726074159145355
131,-0.20603209733963013
132,-0.20603209733963013
133,-0.19913864135742188
134,-0.1259903609752655
135,-0.06601259112358093
136,-0.06135505065321922
137,-0.04977138713002205
138,-0.03324393182992935
139,-0.030740512534976006
140,-0.025077812373638153
141,-0.03165348246693611
142,-0.03141072392463684
143,-0.03567405045032501
144,-0.040166813880205154
145,-0.0447947233915329
146,-0.04714156314730644
147,-0.04743223637342453
148,-0.042261410504579544
149,-0.03183387592434883
150,-0.03183387592434883
151,-0.029660247266292572
152,-0.039266884326934814
153,-0.04703956097364426
154,-0.057724159210920334
155,-0.061069052666425705
156,-0.06313963234424591
157,-0.07827093452215195
158,-0.06557589024305344
159,-0.055124275386333466
160,-0.056121826171875
161,-0.042218878865242004
162,-0.032513100653886795
163,-0.030778134241700172
164,-0.050831232219934464
165,-0.08940190076828003
166,-0.15059702098369598
167,-0.1710595041513443
168,-0.12606067955493927
169,-0.12606067955493927
170,-0.07459428161382675
171,-0.07983609288930893
172,-0.09838727861642838
173,-0.12861835956573486
174,-0.17357440292835236
175,-0.15172918140888214
176,-0.0865253284573555
177,-0.03707445412874222
178,-0.03601455315947533
179,-0.10108183324337006
180,-0.1505899876356125
181,-0.1770295649766922
182,-0.1905089169740677
183,-0.19114820659160614
184,-0.19143861532211304
185,-0.18819336593151093
186,-0.1713336557149887
187,-0.1713336557149887
188,-0.14246031641960144
189,-0.09977466613054276
190,-0.063434898853302
191,-0.022920945659279823
192,0.0060310401022434235
193,-0.003176386933773756
194,-0.05704061686992645
195,-0.09100841730833054
196,-0.07337158918380737
197,-0.07865899056196213
198,-0.06831469386816025
199,-0.08792940527200699
200,-0.10617043823003769
201,-0.11298159509897232
202,-0.1165066659450531
203,-0.11333751678466797
204,-0.11333751678466797
205,-0.1034088283777237
206,-0.1300598531961441
207,-0.15924541652202606
208,-0.16421133279800415
209,-0.17171379923820496
210,-0.17943111062049866
211,-0.1908087283372879
212,-0.17670032382011414
213,-0.11190441995859146
214,-0.07103484123945236
215,-0.050577111542224884
216,-0.06175023689866066
217,-0.07840900123119354
218,-0.05301615223288536
219,-0.027822652831673622
220,-0.035599108785390854
221,-0.0377800390124321
222,-0.0377800390124321
223,-0.036071717739105225
224,-0.04078409820795059
225,-0.047871630638837814
226,-0.05219563469290733
227,-0.043442271649837494
228,-0.04447425156831741
229,-0.042760368436574936
230,-0.04843103513121605
231,-0.05564708262681961
232,-0.05433548241853714
233,-0.05798894539475441
234,-0.06011204794049263
235,-0.06275695562362671
236,-0.05578937381505966
237,-0.05182427540421486
238,-0.064021997153759
239,-0.06976932287216187
240,-0.02884609065949917
241,-0.02884609065949917
242,-0.010050129145383835
243,-0.02452576905488968
244,-0.0372636541724205
245,-0.046389609575271606
246,-0.05733681097626686
247,-0.10612981766462326
248,-0.17263385653495789
249,-0.10661971569061279
250,-0.06811757385730743
251,-0.07010902464389801
252,-0.07705705612897873
253,-0.1087285503745079
254,-0.1533203274011612
255,-0.13947027921676636
256,-0.0677945613861084
257,-0.03815792500972748
258,-0.08335590362548828
259,-0.08335590362548828
260,-0.12885236740112305
261,-0.1551601141691208
