,NDBI1
0,-0.1943657398223877
1,-0.22060970962047577
2,-0.22060970962047577
3,-0.249651238322258
4,-0.2513543963432312
5,-0.25357726216316223
6,-0.25357726216316223
7,-0.2607084810733795
8,-0.2646786570549011
9,-0.2646786570549011
10,-0.26326876878738403
11,-0.270405650138855
12,-0.26725712418556213
13,-0.26725712418556213
14,-0.2649223208427429
15,-0.2571415603160858
16,-0.2571415603160858
17,-0.2463427633047104
18,-0.2605487108230591
19,-0.2605487108230591
20,-0.2652909755706787
21,-0.26095157861709595
22,-0.25774049758911133
23,-0.25774049758911133
24,-0.2576103210449219
25,-0.263497531414032
26,-0.263497531414032
27,-0.2536333501338959
28,-0.24241791665554047
29,-0.2686995267868042
30,-0.2686995267868042
31,-0.2474353164434433
32,-0.2568312883377075
33,-0.2568312883377075
34,-0.25833356380462646
35,-0.244111105799675
36,-0.24892570078372955
37,-0.24892570078372955
38,-0.2504831850528717
39,-0.25854215025901794
40,-0.25854215025901794
41,-0.24843470752239227
42,-0.26481160521507263
43,-0.27679964900016785
44,-0.27679964900016785
45,-0.2626270055770874
46,-0.2598041594028473
47,-0.2598041594028473
48,-0.27023041248321533
49,-0.27873820066452026
50,-0.27873820066452026
51,-0.2820990979671478
52,-0.2770128846168518
53,-0.25912967324256897
54,-0.25912967324256897
55,-0.2517298758029938
56,-0.2430647760629654
57,-0.2430647760629654
58,-0.2520178556442261
59,-0.2505015730857849
60,-0.22616620361804962
61,-0.22616620361804962
62,-0.2272244691848755
63,-0.23471522331237793
64,-0.23471522331237793
65,-0.21750789880752563
66,-0.17876102030277252
67,-0.2136755883693695
68,-0.2136755883693695
69,-0.2178535759449005
70,-0.2373981773853302
71,-0.2373981773853302
72,-0.25732946395874023
73,-0.2796618938446045
74,-0.3018655478954315
75,-0.3018655478954315
76,-0.2914566993713379
77,-0.2974931299686432
78,-0.2974931299686432
79,-0.27863171696662903
80,-0.26584896445274353
81,-0.26584896445274353
82,-0.26547348499298096
83,-0.27391618490219116
84,-0.27067938446998596
85,-0.27067938446998596
86,-0.27099379897117615
87,-0.2609294056892395
88,-0.2609294056892395
89,-0.26580944657325745
90,-0.2710636556148529
91,-0.2629207372665405
92,-0.2629207372665405
93,-0.26628389954566956
94,-0.24841879308223724
95,-0.24841879308223724
96,-0.20269635319709778
97,-0.18616512417793274
98,-0.23114974796772003
99,-0.23114974796772003
100,-0.24769939482212067
101,-0.2345501184463501
102,-0.2345501184463501
103,-0.25087735056877136
104,-0.260478675365448
105,-0.2525975704193115
106,-0.2525975704193115
107,-0.24689653515815735
108,-0.24289196729660034
109,-0.24289196729660034
110,-0.23337076604366302
111,-0.21380381286144257
112,-0.20332518219947815
113,-0.20332518219947815
114,-0.23140598833560944
115,-0.24161188304424286
116,-0.24161188304424286
117,-0.2560291588306427
118,-0.27021166682243347
119,-0.27021166682243347
120,-0.27398231625556946
121,-0.2605854272842407
122,-0.25438326597213745
123,-0.25438326597213745
124,-0.25378766655921936
125,-0.27124202251434326
126,-0.27124202251434326
127,-0.26108232140541077
128,-0.2693479061126709
129,-0.2705896496772766
130,-0.2705896496772766
131,-0.2641837000846863
132,-0.2659444510936737
133,-0.2659444510936737
134,-0.2538045048713684
135,-0.2676091492176056
136,-0.2697910666465759
137,-0.2697910666465759
138,-0.28345128893852234
139,-0.2826670706272125
140,-0.2826670706272125
141,-0.26486682891845703
142,-0.26638633012771606
143,-0.26210376620292664
144,-0.26210376620292664
145,-0.2586757242679596
146,-0.2686358094215393
147,-0.2686358094215393
148,-0.28244835138320923
149,-0.29228538274765015
150,-0.29228538274765015
151,-0.28186777234077454
152,-0.2784061133861542
153,-0.2878587245941162
154,-0.2878587245941162
155,-0.268561452627182
156,-0.2384556531906128
157,-0.2384556531906128
158,-0.25251084566116333
159,-0.25115329027175903
160,-0.19293200969696045
161,-0.19293200969696045
162,-0.1232699602842331
163,-0.18128757178783417
164,-0.18128757178783417
165,-0.25691506266593933
166,-0.26120638847351074
167,-0.28854551911354065
168,-0.28854551911354065
169,-0.2920110821723938
170,-0.2670305073261261
171,-0.2670305073261261
172,-0.271125465631485
173,-0.2723740041255951
174,-0.2723740041255951
175,-0.27238696813583374
176,-0.2756831645965576
177,-0.28107863664627075
178,-0.28107863664627075
179,-0.28640416264533997
180,-0.29483237862586975
181,-0.29483237862586975
182,-0.2579158544540405
183,-0.23623231053352356
184,-0.252871036529541
185,-0.252871036529541
186,-0.2622535526752472
187,-0.2545168399810791
188,-0.2545168399810791
189,-0.2573851943016052
190,-0.24930204451084137
191,-0.21097660064697266
192,-0.2574469745159149
193,-0.21138925850391388
194,-0.217512845993042
195,-0.217512845993042
196,-0.23067669570446014
197,-0.2281377613544464
198,-0.21703262627124786
199,-0.21703262627124786
200,-0.20648160576820374
201,-0.19777719676494598
202,-0.19777719676494598
203,-0.19519951939582825
204,-0.2077494114637375
205,-0.18528038263320923
206,-0.18528038263320923
207,-0.19026455283164978
208,-0.22401349246501923
209,-0.22401349246501923
210,-0.2566993832588196
211,-0.25490251183509827
212,-0.2332063615322113
213,-0.2332063615322113
214,-0.2305985987186432
215,-0.2472171038389206
216,-0.2472171038389206
217,-0.2437528520822525
218,-0.25554919242858887
219,-0.25554919242858887
220,-0.2616936266422272
221,-0.2630249857902527
222,-0.2504102289676666
223,-0.2504102289676666
224,-0.2533489167690277
225,-0.23843203485012054
226,-0.23843203485012054
227,-0.22124004364013672
228,-0.21862195432186127
229,-0.2276880145072937
230,-0.2276880145072937
231,-0.2682633697986603
232,-0.2818010449409485
233,-0.2818010449409485
234,-0.29589375853538513
235,-0.2894786596298218
236,-0.2745588719844818
237,-0.2745588719844818
238,-0.28109073638916016
239,-0.2853653132915497
240,-0.2853653132915497
241,-0.29141324758529663
242,-0.29821333289146423
243,-0.29821333289146423
244,-0.29224488139152527
245,-0.29427647590637207
246,-0.2913140058517456
247,-0.2913140058517456
248,-0.28067922592163086
249,-0.2804142236709595
250,-0.2804142236709595
251,-0.2788982093334198
252,-0.2850542366504669
253,-0.2812664806842804
254,-0.2812664806842804
255,-0.24231597781181335
256,-0.18291474878787994
257,-0.18291474878787994
258,-0.15560747683048248
259,-0.2296658754348755
260,-0.2867374122142792
261,-0.2867374122142792
262,-0.29479098320007324
263,-0.29873642325401306
264,-0.29873642325401306
265,-0.2851930856704712
266,-0.26941773295402527
267,-0.2564847469329834
268,-0.2564847469329834
269,-0.27030712366104126
270,-0.28112709522247314
271,-0.28112709522247314
272,-0.2971666753292084
273,-0.29722583293914795
274,-0.29722583293914795
275,-0.30309635400772095
276,-0.28039151430130005
277,-0.240849107503891
278,-0.240849107503891
279,-0.25172358751296997
280,-0.23592300713062286
281,-0.23592300713062286
282,-0.25714683532714844
283,-0.2589363157749176
284,-0.2719722390174866
285,-0.2719722390174866
286,-0.2802615761756897
287,-0.272645503282547
288,-0.27392148971557617
289,-0.25627028942108154
290,-0.23724082112312317
291,-0.2299032062292099
292,-0.2299032062292099
293,-0.21270449459552765
294,-0.20564503967761993
295,-0.20564503967761993
296,-0.20715045928955078
297,-0.200926274061203
298,-0.19202466309070587
299,-0.19202466309070587
300,-0.2125445455312729
301,-0.20836935937404633
302,-0.20836935937404633
303,-0.19339725375175476
304,-0.21378560364246368
305,-0.24259580671787262
306,-0.24259580671787262
307,-0.22770994901657104
308,-0.1970725655555725
309,-0.1970725655555725
310,-0.18554605543613434
311,-0.21486926078796387
312,-0.21486926078796387
313,-0.228998601436615
314,-0.2426966279745102
315,-0.22919400036334991
316,-0.22919400036334991
317,-0.21124103665351868
318,-0.22325873374938965
319,-0.22325873374938965
320,-0.191263347864151
321,-0.17147986590862274
322,-0.16449609398841858
323,-0.16449609398841858
324,-0.17567221820354462
325,-0.21077153086662292
326,-0.21077153086662292
327,-0.23395337164402008
328,-0.24845221638679504
329,-0.2581384778022766
330,-0.2581384778022766
331,-0.26819273829460144
332,-0.2637329697608948
333,-0.2637329697608948
334,-0.2799009680747986
335,-0.29626333713531494
336,-0.2928045690059662
337,-0.2928045690059662
338,-0.2876012325286865
339,-0.28325334191322327
340,-0.28325334191322327
341,-0.2939703166484833
342,-0.2973991930484772
343,-0.2973991930484772
344,-0.29383790493011475
345,-0.26549410820007324
346,-0.2781267762184143
347,-0.2781267762184143
348,-0.2895316779613495
349,-0.2805091440677643
350,-0.2805091440677643
351,-0.23783603310585022
352,-0.18821536004543304
353,-0.17944960296154022
354,-0.17944960296154022
355,-0.20736804604530334
356,-0.27417147159576416
357,-0.27417147159576416
358,-0.2914227545261383
359,-0.2493051141500473
360,-0.1767202615737915
361,-0.1767202615737915
362,-0.1625019758939743
363,-0.24637523293495178
364,-0.24637523293495178
365,-0.2750385105609894
366,-0.26670241355895996
367,-0.26670241355895996
368,-0.2654382288455963
369,-0.24537956714630127
370,-0.2176235020160675
371,-0.2176235020160675
372,-0.22311852872371674
373,-0.26301586627960205
374,-0.26301586627960205
375,-0.24709567427635193
376,-0.24648906290531158
377,-0.2654939889907837
378,-0.2654939889907837
379,-0.27557656168937683
380,-0.2629963159561157
381,-0.2629963159561157
382,-0.2681049704551697
383,-0.2760898768901825
384,-0.2714551091194153
385,-0.2714551091194153
386,-0.26928719878196716
387,-0.22905752062797546
388,-0.22905752062797546
389,-0.21722370386123657
390,-0.21354980766773224
391,-0.21861153841018677
392,-0.21861153841018677
393,-0.22609081864356995
394,-0.22062432765960693
395,-0.22062432765960693
396,-0.20807285606861115
397,-0.15701432526111603
398,-0.13955441117286682
399,-0.13955441117286682
