,NDBI1
0,-0.2734781503677368
1,-0.2822161018848419
2,-0.28475043177604675
3,-0.28094765543937683
4,-0.2575305700302124
5,-0.22983655333518982
6,-0.21778935194015503
7,-0.22627650201320648
8,-0.25175797939300537
9,-0.27619269490242004
10,-0.2649953067302704
11,-0.2491546869277954
12,-0.2595432996749878
13,-0.2773051857948303
14,-0.28804659843444824
15,-0.28839921951293945
16,-0.2814255952835083
17,-0.2617565989494324
18,-0.24975194036960602
19,-0.24617360532283783
20,-0.25418388843536377
21,-0.27845999598503113
22,-0.28624123334884644
23,-0.2808416187763214
24,-0.27897655963897705
25,-0.27278658747673035
26,-0.25922107696533203
27,-0.23849906027317047
28,-0.2447565346956253
29,-0.26619377732276917
30,-0.28152140974998474
31,-0.2857518196105957
32,-0.2864968776702881
33,-0.28704380989074707
34,-0.2847468852996826
35,-0.28816917538642883
36,-0.2883548140525818
37,-0.2858242094516754
38,-0.2807411551475525
39,-0.2786671817302704
40,-0.28099486231803894
41,-0.2830601632595062
42,-0.2772059440612793
43,-0.24079588055610657
44,-0.2414884865283966
45,-0.2485424280166626
46,-0.2533310055732727
47,-0.2583123445510864
48,-0.27324917912483215
49,-0.2814500629901886
50,-0.28091347217559814
51,-0.2770816683769226
52,-0.2818850576877594
53,-0.28307464718818665
54,-0.2770370841026306
55,-0.27295395731925964
56,-0.2560233771800995
57,-0.2217903733253479
58,-0.2236991822719574
59,-0.22279192507266998
60,-0.22433096170425415
61,-0.24470554292201996
62,-0.2624072730541229
63,-0.27175387740135193
64,-0.27706825733184814
65,-0.2763230800628662
66,-0.28414109349250793
67,-0.2797696590423584
68,-0.2706570327281952
69,-0.25301051139831543
70,-0.23935307562351227
71,-0.2250533103942871
72,-0.24147194623947144
73,-0.24643079936504364
74,-0.2600651681423187
75,-0.24481993913650513
76,-0.2083812654018402
77,-0.18134304881095886
78,-0.18187786638736725
79,-0.20025332272052765
80,-0.21445463597774506
81,-0.2428918480873108
82,-0.2515476644039154
83,-0.22712992131710052
84,-0.2015833556652069
85,-0.20973438024520874
86,-0.23183821141719818
87,-0.23988309502601624
88,-0.2384326457977295
89,-0.22655382752418518
90,-0.2133643925189972
91,-0.21036416292190552
92,-0.21411381661891937
93,-0.2101280689239502
94,-0.23278218507766724
95,-0.22692807018756866
96,-0.21643652021884918
97,-0.2034633606672287
98,-0.18699826300144196
99,-0.16850605607032776
100,-0.19920465350151062
101,-0.2761121690273285
102,-0.278671532869339
103,-0.2804710566997528
104,-0.27842947840690613
105,-0.2680911123752594
106,-0.24321812391281128
107,-0.22425302863121033
108,-0.24271665513515472
109,-0.23404668271541595
110,-0.23147077858448029
111,-0.2517187297344208
112,-0.26832765340805054
113,-0.2675643265247345
114,-0.2426234781742096
115,-0.21242482960224152
116,-0.16197460889816284
117,-0.17199966311454773
118,-0.16914145648479462
119,-0.1729668825864792
120,-0.18499606847763062
121,-0.18426881730556488
122,-0.19501939415931702
123,-0.2658732235431671
124,-0.27138248085975647
125,-0.2542065680027008
126,-0.2220221757888794
127,-0.2086688131093979
128,-0.21827630698680878
129,-0.22110426425933838
130,-0.2595160901546478
131,-0.2558883726596832
132,-0.25277265906333923
133,-0.2623163163661957
134,-0.2544941306114197
135,-0.23142358660697937
136,-0.22548866271972656
137,-0.27719905972480774
138,-0.28752315044403076
139,-0.2791658043861389
140,-0.2759118378162384
141,-0.2526821792125702
142,-0.2370668649673462
143,-0.24490100145339966
144,-0.21687403321266174
145,-0.22224564850330353
146,-0.23373515903949738
147,-0.24036037921905518
148,-0.234933540225029
149,-0.22179313004016876
150,-0.21478010714054108
151,-0.21055680513381958
152,-0.2602449655532837
153,-0.258635014295578
154,-0.2562171220779419
155,-0.26453202962875366
156,-0.2810089886188507
157,-0.283273309469223
158,-0.2725672423839569
159,-0.28195253014564514
160,-0.2832554280757904
161,-0.28592100739479065
162,-0.2843628227710724
163,-0.2754691541194916
164,-0.2703780233860016
165,-0.2682150900363922
166,-0.22017662227153778
167,-0.21085026860237122
168,-0.2242114543914795
169,-0.23334509134292603
170,-0.23506084084510803
171,-0.24046294391155243
172,-0.23935791850090027
173,-0.22749952971935272
174,-0.2297687530517578
175,-0.24609722197055817
176,-0.2633417546749115
177,-0.2583688497543335
178,-0.260964035987854
179,-0.2620648145675659
180,-0.24550746381282806
181,-0.23180121183395386
182,-0.23210196197032928
183,-0.22948747873306274
184,-0.23383118212223053
185,-0.2471715211868286
186,-0.2551940381526947
187,-0.2463710755109787
188,-0.24310210347175598
189,-0.2704429030418396
190,-0.27972814440727234
191,-0.26596781611442566
192,-0.263686865568161
193,-0.2702901065349579
194,-0.27667632699012756
195,-0.2538103461265564
196,-0.23296453058719635
197,-0.2415468543767929
198,-0.2549179494380951
199,-0.2422364205121994
200,-0.21267667412757874
201,-0.19946123659610748
202,-0.20846962928771973
203,-0.22104769945144653
204,-0.24003848433494568
